,Text,Created_at,neg,neu,pos,compound,sentiment,top_10_only
10688," @betoorourke: two years ago, millions shared a hashtag, as part of a movement that changed our country. on #metoo's 2nd anniversary, let2\x806""",2019-10-15 22:53:00,0.0,0.862,0.138,0.34,positive,"{'two', 'years', 'movement'}"
10689,chatbycc: @realdonaldtrump @cnn rumor has it2\x80\x94\n*ucker zucker has his own #metoo scandals.',2019-10-15 22:53:00,0.242,0.758,0.0,-0.4939,negative,set()
10690,"hultmark_mark @lawcrimenews yep, she caved to the kav. not a good look in the age of #metoo. retire susan, you fai2\x806 https://t.co/uusqyhddjx'",2019-10-15 22:53:00,0.0,0.718,0.282,0.6249,positive,set()
10691," @betoorourke: two years ago, millions shared a hashtag, as part of a movement that changed our country. on #metoo's 2nd anniversary, let2\x806""",2019-10-15 22:53:00,0.0,0.862,0.138,0.34,positive,"{'two', 'years', 'movement'}"
10692,"boxersforlife: hey @betoorourke since you2\x80\x99re all about the #metoo movement and believing all women, @lgjustinfairfax the lt. governor o2\x806'",2019-10-15 22:53:00,0.0,1.0,0.0,0.0,neutral,{'movement'}
10693," @nowthisnews: .@metoomvmt's @taranaburke, @mujerxsrising's @monicaramirezoh, @nwlc's @fgossgraves, and @domesticworkers' @aijenpoo are t2\x806""",2019-10-15 22:53:00,0.0,1.0,0.0,0.0,neutral,set()
10694," @kamalaharris: for years, @taranaburke led the #metoo movement. it wasn't until this day in 2017 that sexual assault survivors worldwide2\x806""",2019-10-15 22:52:00,0.241,0.759,0.0,-0.5859,negative,{'sexual'}
10695,"kennyboiyt: yo school is fuckin stupid, one day they say that weapons are bad and shooting schools are bad, the next day a emo kid brin2\x806'",2019-10-15 22:52:00,0.487,0.513,0.0,-0.9231,negative,set()
10696,taranaburke: the rate of sexual violence in indigenous communities is beyond alarming and they are the group with the largest number of2\x806',2019-10-15 22:52:00,0.331,0.592,0.077,-0.6486,negative,{'sexual'}
10697," @betoorourke: two years ago, millions shared a hashtag, as part of a movement that changed our country. on #metoo's 2nd anniversary, let2\x806""",2019-10-15 22:52:00,0.0,0.862,0.138,0.34,positive,"{'two', 'years', 'movement'}"
10698,"kaceykells: kellcey, by kacey kells: powerful, honest, emotional (j.g. macleod) #book #kellcey #kaceykells #metoo https://t.co/t4wj28rh2\x806'",2019-10-15 22:52:00,0.0,0.609,0.391,0.7717,positive,set()
10699,"kaceykells: kellcey ""this story not only bears witness to what countless other women have gone through, but also offers a message of ho2\x806'",2019-10-15 22:52:00,0.0,1.0,0.0,0.0,neutral,{'women'}
